Product,Order ID,Item Processing cost,Weight,Revenue,Profit,Warehouse,Inventory,Customer,City,State,Order Date,Cost per unit,Profit margin,Average order size,Inventory turnover
Maybelline,34148,4.438069397,811.6698908,2147.279319,874.4378532,Chicago,103.4310881,Walgreens,Denver, Colorado,7/27/2022,0.005467826,40.72306037,811.6698908,7.847446118
MAC,47968,1.791045272,422.9670625,6217.528784,467.3746623,Chicago,794.6534127,Sephora,Seattle, Washington,12/20/2020,0.004234479,7.517048629,1082.979741,0.532266087
Loreal,95248,2.95264006,936.2513118,6077.670309,687.3806286,Chicago,746.1442004,Ulta Beauty,San Diego, California,10/7/2020,0.003153683,11.30993611,936.2513118,1.25478602
Tarte,30981,1.319852547,721.7161183,2604.120761,144.3952778,Chicago,612.9440579,Boots,Phoenix, Arizona,12/23/2020,0.00182877,5.544876411,721.7161183,1.177458381
Estee Lauder,19125,4.145383567,700.2000283,1894.113282,215.5634736,Chicago,535.8196435,Nordstrom,New York City, New York,4/14/2021,0.005920285,11.38070651,700.2000283,1.306783051
Revlon,73799,2.302116768,708.970419,6489.619038,445.2038787,Florida,983.6787428,Target,Phoenix, Arizona,3/17/2021,0.003247127,6.860246742,1227.30972,0.720733699
Revlon,17171,3.955106346,739.8091774,3218.662644,147.1737367,California,388.6391661,Ulta Beauty,Boston, Massachusetts,1/20/2021,0.005346117,4.572512033,739.8091774,1.903588835
Clinique,51640,4.787297457,133.0832573,9014.4187,593.6765604,Florida,287.9733397,Sephora,San Antonio, Texas,10/5/2020,0.035972199,6.585855175,133.0832573,0.462137424
Loreal,10084,2.330771686,729.0647789,1156.400146,141.7992912,California,583.4003976,Sephora,New York City, New York,7/24/2020,0.003196934,12.26213018,729.0647789,1.249681663
Covergirl,11598,3.478852477,758.7661188,5409.381491,818.3352252,California,584.4531739,Amazon,New York City, New York,3/23/2023,0.004584881,15.12807382,758.7661188,1.298249633
Maybelline,37967,3.580423671,644.3965079,6624.686784,222.5575844,Chicago,174.4306033,Ulta Beauty,Philadelphia, Pennsylvania,6/10/2020,0.005556243,3.359518595,644.3965079,3.69428584
Maybelline,27253,1.712349972,564.4818267,5626.362617,767.2380645,Texas,369.8358099,Walmart,Chicago, Illinois,6/18/2023,0.00303349,13.63648447,564.4818267,1.526303867
Maybelline,20851,4.657346584,882.3664773,5633.081641,699.6820796,Chicago,352.0837082,Boots,Los Angeles, California,4/13/2022,0.005278245,12.4209469,882.3664773,2.506126972
Loreal,27118,2.801444947,859.3263791,8730.929298,358.0001041,New York,169.9660352,Walmart,Seattle, Washington,4/19/2023,0.003260048,4.100366546,859.3263791,5.055871181
Maybelline,69103,4.07674369,947.8648073,6596.953061,254.2887683,Texas,433.903797,Sephora,Austin, Texas,10/12/2020,0.004300976,3.854639648,1859.978336,2.184504523
Clinique,72622,1.018460977,751.3403347,2796.276589,872.5461219,New York,232.628906,Boots,Miami, Florida,2/12/2023,0.001355525,31.20385605,751.3403347,3.229780631
Loreal,78854,1.151782764,407.9190509,9569.438843,429.3003084,Florida,403.1582444,CVS Pharmacy,Seattle, Washington,3/19/2022,0.002823557,4.486159694,407.9190509,1.011808779
NARS,38945,4.604750716,700.55531,7559.992265,899.2998929,California,933.813097,CVS Pharmacy,Philadelphia, Pennsylvania,9/21/2022,0.006573001,11.8955134,1606.257107,0.750209343
Clinique,42236,2.278444572,638.6295306,6995.767967,122.3123417,Florida,226.2336002,MAC Cosmetics,Miami, Florida,8/9/2023,0.003567709,1.748376193,841.6588554,2.822876576
Loreal,83193,3.726687647,978.7536168,6630.804818,649.4310384,California,835.2234002,CVS Pharmacy,Los Angeles, California,6/19/2021,0.003807585,9.794151031,978.7536168,1.171846498
Tarte,26976,2.705364637,987.5929141,7520.717694,953.1602471,California,459.2972774,Sephora,Phoenix, Arizona,12/23/2021,0.002739352,12.67379372,987.5929141,2.150225927
Urban Decay,24690,4.17595434,672.5983204,1661.458203,557.5000035,New York,364.2601105,Walgreens,Phoenix, Arizona,11/19/2023,0.00620869,33.55486177,1362.121424,1.84647811
Clinique,39399,4.424822982,133.1297065,6767.368239,126.5938531,New York,277.1739214,CVS Pharmacy,Los Angeles, California,8/11/2021,0.033236932,1.870651169,665.5850949,0.480311083
MAC,70306,1.474933871,558.1586397,6868.484766,264.8279636,Chicago,331.3259882,CVS Pharmacy,Miami, Florida,4/12/2023,0.002642499,3.855697037,558.1586397,1.684620765
Covergirl,92462,1.458519765,678.4304466,5800.587217,264.5005878,Chicago,458.5443624,MAC Cosmetics,Austin, Texas,6/1/2021,0.002149844,4.559893298,1049.312319,1.479530667
MAC,70258,4.728427074,152.7193934,4225.833073,374.8691058,Chicago,805.0358621,Walmart,Phoenix, Arizona,7/30/2020,0.030961537,8.870892421,152.7193934,0.189705081
NARS,97080,4.226226869,319.5204925,1440.749271,306.6145587,California,354.0863532,Walmart,Denver, Colorado,6/25/2022,0.013226779,21.28160429,319.5204925,0.902380139
Estee Lauder,36045,4.601151414,332.9141755,8606.285881,292.5750943,Chicago,528.6832078,Walmart,Denver, Colorado,8/19/2023,0.013820834,3.399551193,332.9141755,0.629704463
NARS,53098,3.255458832,557.9936033,7938.033677,490.4253648,Chicago,485.8312347,Walgreens,Denver, Colorado,10/11/2021,0.005834222,6.178171884,557.9936033,1.148533819
Loreal,62056,1.476264132,610.2757159,1414.740761,278.8146374,Chicago,413.8581608,Amazon,San Diego, California,2/11/2021,0.002419012,19.70782528,1504.874133,1.47460114
MAC,98422,4.393379694,246.1148514,4103.331457,581.2873912,Chicago,725.2341145,CVS Pharmacy,Los Angeles, California,5/26/2023,0.017850933,14.16623047,246.1148514,0.339359176
Loreal,74792,4.632384158,319.7375865,7060.281141,607.6670143,Florida,937.7653436,Ulta Beauty,Phoenix, Arizona,7/24/2020,0.014488081,8.606838766,319.7375865,0.340956923
Maybelline,75769,2.750542531,911.3567701,9070.463579,424.1983975,New York,178.8345701,Sephora,Miami, Florida,7/10/2023,0.003018074,4.676700301,911.3567701,5.096088354
Loreal,22050,3.676186263,607.111182,3906.487933,737.0322291,California,544.5295594,Target,Austin, Texas,6/28/2020,0.006055211,18.86687587,607.111182,1.11492787
Loreal,71256,3.746683928,361.2600324,8332.708945,243.8644964,California,256.9789023,Amazon,Denver, Colorado,2/23/2020,0.010371155,2.926593237,361.2600324,1.405796465
Loreal,38096,1.000166206,949.8529681,9361.851305,730.5728787,Chicago,471.8638081,MAC Cosmetics,San Diego, California,12/13/2021,0.00105297,7.803722307,949.8529681,2.012981186
Tarte,42836,3.235952084,557.9250426,4415.128211,967.5699059,Chicago,761.8398155,Ulta Beauty,Chicago, Illinois,6/11/2023,0.005799976,21.91487675,557.9250426,0.732339045
Estee Lauder,42374,1.060503906,548.0707931,3871.995457,946.2145058,California,791.4031762,Sephora,Denver, Colorado,4/27/2023,0.001934976,24.43738678,1356.926096,0.692530444
Covergirl,89573,4.981749131,990.5644402,6633.656191,682.7966166,Chicago,459.4907099,MAC Cosmetics,Philadelphia, Pennsylvania,8/22/2021,0.005029202,10.29291535,990.5644402,2.155787743
NARS,97696,1.111289873,815.2125741,1666.319374,260.8565127,New York,859.2976487,Nordstrom,Denver, Colorado,12/19/2023,0.00136319,15.65465281,815.2125741,0.948696386
Clinique,15960,2.329502973,759.4577343,8099.371609,199.3258582,New York,324.5266311,Target,San Antonio, Texas,8/23/2023,0.003067324,2.461003986,985.1095958,2.340201579
Tarte,10791,3.145058772,655.6930249,9691.355275,874.3539342,New York,437.110176,Ulta Beauty,Dallas, Texas,3/5/2022,0.004796541,9.021998568,655.6930249,1.50006351
Clinique,41523,4.826745496,899.7665963,6866.78382,608.0978009,Texas,359.8809472,Nordstrom,Dallas, Texas,12/8/2020,0.005364442,8.855642129,1442.170778,2.500178471
Revlon,87782,1.014281339,808.2815038,3942.122326,685.7167198,Chicago,960.7014232,Target,Miami, Florida,3/7/2020,0.001254861,17.39460785,808.2815038,0.841345172
MAC,48280,1.367911344,706.9421226,2055.665615,447.0340357,Florida,398.5073085,Nordstrom,New York City, New York,1/1/2021,0.001934969,21.74643738,706.9421226,1.773975301
MAC,35854,4.712894372,233.1068159,7283.089881,602.5776589,Texas,993.9787315,Amazon,Austin, Texas,3/25/2021,0.020217746,8.273654023,233.1068159,0.234518917
Clinique,26711,3.88175856,276.4393828,2577.627973,101.5071098,New York,430.1873072,MAC Cosmetics,Houston, Texas,8/27/2021,0.014041988,3.938004664,859.2503608,0.642602369
Revlon,75525,3.32534646,869.8241921,4811.597212,665.8796011,New York,764.5276171,Target,San Francisco, California,11/11/2020,0.00382301,13.83905534,869.8241921,1.137727628
Clinique,29661,4.215788138,258.3923687,3987.582518,897.479803,New York,643.6879159,Amazon,San Francisco, California,5/24/2020,0.016315451,22.50686472,1071.165511,0.401424918
MAC,37437,2.13789852,432.6605405,2117.693243,712.2734239,California,187.6438725,Ulta Beauty,Miami, Florida,2/16/2023,0.004941284,33.63440037,1121.758023,2.305753632
Estee Lauder,88485,4.981282281,479.2941461,1169.35942,974.5888788,Texas,426.0525415,Walmart,Philadelphia, Pennsylvania,6/20/2023,0.010392955,83.34382589,1326.377321,1.12496488
Tarte,33493,3.470006226,485.4881739,6365.632919,871.0159582,Florida,928.4949641,Boots,Chicago, Illinois,10/8/2021,0.007147458,13.68310063,485.4881739,0.522876475
Estee Lauder,93622,3.02018454,388.1726507,1782.931839,159.3799633,California,498.165368,Ulta Beauty,Miami, Florida,6/25/2022,0.007780519,8.939206754,388.1726507,0.779204408
Urban Decay,55015,2.328170357,249.2913964,5576.490738,334.6070719,Chicago,775.5022592,Target,San Antonio, Texas,4/23/2021,0.009339152,6.000316107,249.2913964,0.321457989
Loreal,20715,2.282337037,491.4336784,3215.217674,466.3254586,Florida,244.109429,Nordstrom,Seattle, Washington,8/13/2023,0.004644242,14.50369791,491.4336784,2.013169587
NARS,99149,3.183656068,622.7369667,3920.542883,429.2960666,California,739.4719589,MAC Cosmetics,Chicago, Illinois,4/4/2020,0.005112361,10.94991381,622.7369667,0.842137365
Loreal,38771,2.014640443,620.2285955,9756.733535,653.1495938,Chicago,310.3094352,Amazon,Denver, Colorado,5/9/2023,0.003248222,6.694346949,1317.194894,1.998742304
NARS,29471,3.80350807,771.3175061,6713.960181,914.6535489,Texas,682.2717914,Walgreens,Austin, Texas,10/27/2022,0.004931183,13.62316017,771.3175061,1.130513552
Urban Decay,44353,3.04572472,380.1568653,6264.383707,381.8634729,Florida,849.0664043,Ulta Beauty,Miami, Florida,3/4/2020,0.008011758,6.095786765,380.1568653,0.44773514
MAC,28676,1.772165829,720.1262941,1346.335601,721.2185648,New York,431.2252463,Sephora,San Antonio, Texas,10/13/2022,0.00246091,53.56900346,720.1262941,1.669953928
NARS,13358,1.837743481,141.5421831,7651.34355,540.4138406,California,572.8430913,MAC Cosmetics,Miami, Florida,10/15/2023,0.012983716,7.062992755,141.5421831,0.247087178
Loreal,25951,2.049528229,841.1961883,5689.772345,410.6161945,California,874.9346045,Walmart,Austin, Texas,2/3/2023,0.002436445,7.21674207,1800.26194,0.961438928
Tarte,89341,2.506532489,420.1878944,6455.657688,936.694741,Florida,139.9477652,Target,Miami, Florida,10/12/2020,0.005965266,14.50967177,932.3647021,3.002462339
NARS,78576,4.451235812,175.1594992,9363.656931,997.7130954,Florida,569.4322233,MAC Cosmetics,Austin, Texas,3/1/2020,0.025412472,10.65516499,175.1594992,0.307603771
Estee Lauder,25370,1.712982497,383.5109095,1629.700518,212.3735656,New York,212.608453,Sephora,Houston, Texas,11/14/2023,0.004466581,13.03144739,383.5109095,1.803836603
Urban Decay,41144,4.143899151,627.3432228,2332.276139,576.0758157,New York,228.8155694,MAC Cosmetics,San Francisco, California,7/1/2021,0.006605474,24.70015476,872.5642377,2.741698148
Estee Lauder,83429,3.732100464,674.3958598,3986.364895,923.2967764,California,734.6998887,Walmart,Dallas, Texas,3/26/2023,0.005533991,23.16137134,674.3958598,0.917920188
Estee Lauder,50277,4.327225356,909.7284277,8148.167517,823.6228135,Texas,233.2604529,Amazon,Phoenix, Arizona,10/27/2023,0.004756612,10.10807414,909.7284277,3.900054281
Loreal,14476,3.164585396,479.3677042,8721.27642,427.5241917,New York,167.1645599,Sephora,Boston, Massachusetts,10/31/2020,0.006601582,4.902082804,1988.966876,2.867639555
MAC,22671,2.421936288,865.0857663,5940.424873,638.7745335,California,244.4098005,Target,San Francisco, California,12/19/2023,0.002799649,10.75301089,865.0857663,3.539488861
Clinique,64007,4.422529029,526.0079209,3635.940255,815.4752216,Chicago,576.6574723,Boots,Miami, Florida,5/4/2022,0.008407723,22.4281799,989.5218003,0.912167008
Revlon,48599,4.178556172,575.1556844,3528.050776,555.5328561,New York,722.0067692,Target,San Diego, California,2/3/2021,0.007265087,15.74616953,575.1556844,0.796607053
Urban Decay,39705,1.987546669,356.5861868,8670.569411,773.2258083,Texas,766.3070385,Amazon,New York City, New York,9/10/2022,0.005573818,8.917820406,356.5861868,0.465330695
Clinique,25393,1.363199223,690.9534353,8583.315066,784.104687,Texas,438.5331526,MAC Cosmetics,Los Angeles, California,3/4/2023,0.001972925,9.135219678,690.9534353,1.575601368
NARS,33379,3.373487613,228.2370879,8738.045841,871.0300989,Texas,724.2593104,Boots,Dallas, Texas,4/13/2020,0.014780629,9.968248218,228.2370879,0.315131728
Clinique,57235,3.817125757,456.8820853,2687.871792,134.1923271,Chicago,190.8109589,Walgreens,San Francisco, California,6/16/2021,0.008354728,4.9925122,456.8820853,2.394422668
Revlon,66851,1.955495944,205.341947,7339.533761,294.2542332,New York,812.0454487,Sephora,San Francisco, California,7/27/2021,0.00952312,4.009167922,205.341947,0.252870018
Estee Lauder,32471,2.312220746,885.9201011,4301.365263,255.3380358,Texas,783.9496898,Amazon,Chicago, Illinois,3/5/2022,0.002609965,5.936209091,885.9201011,1.130072647
Estee Lauder,91855,1.340810009,868.4087017,5323.026253,400.6869429,Texas,170.9657938,Sephora,Miami, Florida,9/4/2023,0.001543985,7.527427518,868.4087017,5.07942953
Urban Decay,80304,4.233315407,271.2786177,6143.330027,451.4343502,Florida,987.5966652,Ulta Beauty,Austin, Texas,9/4/2021,0.015605046,7.348365597,271.2786177,0.274685636
Tarte,38673,3.526280177,574.7632784,5980.442012,972.4177709,California,935.6732774,Target,New York City, New York,3/25/2022,0.006135187,16.25996488,1177.474662,0.614277753
MAC,41503,2.399757407,879.468409,5334.991437,580.0733926,Texas,164.1105124,Sephora,Boston, Massachusetts,8/11/2023,0.002728645,10.87299576,1125.677775,5.359001056
Revlon,61932,4.631311365,287.4968555,8048.683629,454.7208468,California,849.7280239,Nordstrom,San Francisco, California,3/16/2022,0.016109085,5.649630023,664.5245519,0.338339854
MAC,76301,1.251306234,519.5685359,3203.441447,910.8944745,Florida,819.9969355,Ulta Beauty,Philadelphia, Pennsylvania,8/28/2021,0.002408356,28.43487198,921.3098002,0.633622534
Urban Decay,64055,3.020923591,242.7675952,2669.660462,894.871476,New York,386.8165819,Walmart,San Antonio, Texas,1/20/2021,0.012443685,33.52004829,242.7675952,0.6276039
NARS,11698,1.556962213,983.7794129,9483.673681,194.7011659,California,548.0804915,Boots,San Francisco, California,9/9/2020,0.001582633,2.053014185,983.7794129,1.79495426
Maybelline,57124,3.770817405,109.3053255,1692.018207,902.7778849,Chicago,250.3510513,Nordstrom,Seattle, Washington,1/10/2020,0.034498021,53.35509282,109.3053255,0.436608215
Maybelline,21754,4.509644174,325.5927298,2796.799796,455.653281,California,866.9523071,Boots,Chicago, Illinois,8/22/2020,0.013850568,16.29195203,325.5927298,0.37556014
Estee Lauder,80158,4.678303842,925.8031443,3671.487925,202.041427,California,799.4053955,Walmart,San Diego, California,5/6/2023,0.005053238,5.502984923,925.8031443,1.158114706
MAC,60196,3.849596347,683.0176909,2341.36887,244.166603,Florida,871.2186153,Boots,Boston, Massachusetts,1/18/2021,0.005636159,10.42836975,1153.013148,0.78397968
NARS,59357,1.838865896,831.3070325,2105.147214,916.9635811,Chicago,687.0084309,Boots,Phoenix, Arizona,9/16/2021,0.002212018,43.55816899,831.3070325,1.210039055
Tarte,10898,4.11559458,776.9519794,7966.401107,345.4092985,Texas,232.8460012,Boots,San Antonio, Texas,9/22/2020,0.005297103,4.335826101,776.9519794,3.336763248
Clinique,54971,4.181469946,807.5525599,6581.391372,907.0678454,Florida,617.9630638,Walmart,San Antonio, Texas,12/11/2020,0.005177954,13.78231128,807.5525599,1.306797456
Covergirl,80893,1.921371294,629.0025651,7845.090948,103.6725393,California,799.1169726,Nordstrom,Boston, Massachusetts,12/24/2023,0.003054632,1.321495696,629.0025651,0.787122019
Covergirl,66496,4.19993036,675.1541668,6272.678323,904.2007559,Florida,923.1204202,Sephora,Phoenix, Arizona,6/22/2023,0.006220698,14.41490715,675.1541668,0.73138255
Maybelline,13224,2.497692608,751.6810128,4799.186002,107.1475811,New York,515.3174884,MAC Cosmetics,Chicago, Illinois,11/18/2023,0.003322809,2.232619888,751.6810128,1.458675534
Revlon,74516,2.663521778,935.7493306,9194.242714,230.6622118,Chicago,834.9130992,Boots,Los Angeles, California,8/27/2020,0.002846405,2.508767921,1328.009438,1.120774523
Revlon,32677,2.577566215,164.4991856,8115.152303,125.6460634,Texas,208.2008879,Target,Phoenix, Arizona,3/30/2022,0.015669173,1.548289652,164.4991856,0.790098387
Covergirl,72748,1.374866907,885.6438724,9143.054956,386.1346766,Texas,688.5393808,Walgreens,Miami, Florida,1/27/2020,0.001552393,4.223256652,885.6438724,1.28626466
Covergirl,16348,3.994017934,696.6600522,3123.38851,776.9427735,New York,844.5706021,Nordstrom,Seattle, Washington,4/4/2020,0.005733095,24.87499621,696.6600522,0.824868934
Urban Decay,44580,2.446185226,235.2047646,9465.423988,878.7911366,California,774.8096978,CVS Pharmacy,Austin, Texas,10/4/2020,0.010400237,9.284223693,235.2047646,0.303564559
Revlon,79033,3.471746257,917.8230346,9912.627255,648.493093,New York,597.6379944,Nordstrom,San Francisco, California,1/10/2022,0.003782588,6.542090975,917.8230346,1.535750811
Revlon,10850,1.995055619,489.4003998,4974.200161,259.4061932,New York,134.9094889,CVS Pharmacy,Miami, Florida,8/14/2023,0.00407653,5.215033268,489.4003998,3.627620295
Loreal,17909,1.706188139,462.2783725,7207.565325,415.5018101,New York,108.0203055,MAC Cosmetics,Austin, Texas,4/1/2023,0.003690824,5.764801168,589.6459537,4.279550684
NARS,60181,2.662235004,963.2282316,6819.200259,781.7539117,Chicago,995.4157275,Amazon,Dallas, Texas,6/14/2020,0.002763867,11.46401164,963.2282316,0.967664268
Clinique,44410,1.745882561,777.6670648,7131.06077,903.8054592,Chicago,160.2198188,Ulta Beauty,Los Angeles, California,12/22/2021,0.002245026,12.67420778,1111.192238,4.853750746
Estee Lauder,48346,4.070110285,809.5865726,8060.16981,948.5757124,Texas,121.1373863,Nordstrom,New York City, New York,9/3/2022,0.005027394,11.76868149,1073.82762,6.683209845
Tarte,76288,2.654903536,719.7502928,3136.541861,446.8152772,Chicago,956.9381986,Walmart,Chicago, Illinois,8/24/2022,0.003688645,14.2454747,719.7502928,0.752138742
MAC,22288,3.067566567,913.2415971,2597.365194,854.8461983,California,858.5221751,Amazon,Los Angeles, California,4/13/2021,0.003358987,32.91205258,1122.544908,1.06373676
Estee Lauder,19766,1.430152862,154.8485944,4216.196071,881.4448458,New York,151.4197303,CVS Pharmacy,Denver, Colorado,1/14/2023,0.009235814,20.90616354,154.8485944,1.022644764
Revlon,61948,2.955829702,921.5124902,9839.312869,196.3904906,New York,755.1326293,Walgreens,Houston, Texas,11/20/2021,0.003207585,1.995977699,1922.078656,1.220331971
Estee Lauder,64830,3.91239087,538.5143655,4263.196514,811.0150076,California,502.1280457,Ulta Beauty,Phoenix, Arizona,9/11/2021,0.007265156,19.02363649,538.5143655,1.072464225
Revlon,91090,4.982321798,594.3982766,7863.518517,222.0750979,Chicago,996.6096231,Amazon,Denver, Colorado,6/14/2021,0.008382127,2.824118713,594.3982766,0.596420366
MAC,92776,2.465969095,199.5538047,7572.47642,332.3672627,Chicago,551.969323,Walgreens,San Diego, California,5/14/2022,0.012357415,4.389148863,486.3874564,0.361530607
NARS,27872,3.813490082,902.6481802,3982.631007,232.435852,New York,552.2637786,Sephora,Los Angeles, California,7/22/2022,0.00422478,5.836238697,902.6481802,1.634451172
Urban Decay,11719,2.778611155,302.3490826,4274.116231,210.0353671,New York,511.5289627,Ulta Beauty,Phoenix, Arizona,11/14/2022,0.009190076,4.914123897,302.3490826,0.591069333
Maybelline,30088,1.158406353,463.7651495,5344.440628,534.994899,Texas,738.9968241,Nordstrom,Philadelphia, Pennsylvania,8/14/2022,0.00249783,10.01030671,463.7651495,0.627560409
Maybelline,24029,4.575156147,800.5654086,7009.861946,977.4661401,Florida,231.5629499,Target,San Antonio, Texas,10/11/2023,0.005714906,13.94415678,800.5654086,3.457225817
Maybelline,40247,3.68944404,700.8895355,9144.767773,859.1930358,Chicago,212.5137751,Ulta Beauty,San Francisco, California,11/12/2021,0.005263945,9.395460412,700.8895355,3.298089902
Clinique,34137,2.238500604,999.2664763,8667.134745,534.6297306,New York,650.2653488,Amazon,Phoenix, Arizona,3/30/2022,0.002240144,6.16847143,999.2664763,1.536705713
Loreal,34402,1.123610771,996.7551784,3845.406579,466.7415006,Texas,576.4985037,Nordstrom,San Antonio, Texas,5/13/2023,0.001127269,12.13763723,996.7551784,1.72898138
Covergirl,45273,1.154277527,285.0425904,9108.840078,613.5317951,Florida,310.9678807,Sephora,Los Angeles, California,5/22/2023,0.004049491,6.735564461,534.0540378,0.916630328
NARS,65740,2.467652351,809.0881897,6502.790213,191.5836832,Texas,423.0009797,Ulta Beauty,San Diego, California,5/18/2021,0.003049918,2.946176594,809.0881897,1.912733607
Clinique,85318,1.572361606,619.0347738,1114.590127,199.630451,Florida,145.5652402,Ulta Beauty,Houston, Texas,12/8/2020,0.002540021,17.91066026,619.0347738,4.252627709
Clinique,22279,2.74052192,848.3735826,4671.613298,518.7328859,Texas,290.5501438,Boots,Los Angeles, California,12/12/2021,0.003230324,11.10393461,848.3735826,2.919886983
MAC,44833,4.707742008,743.8072174,2588.700257,543.3536198,New York,301.5905126,CVS Pharmacy,Dallas, Texas,11/23/2022,0.00632925,20.98943739,743.8072174,2.466281883
NARS,63539,2.877170449,110.6544611,9199.229559,862.7996521,New York,261.2505068,Boots,Miami, Florida,4/5/2022,0.026001396,9.379042522,110.6544611,0.423556924
Clinique,26001,1.845678634,745.6892049,7683.468164,400.9185331,Florida,761.6185487,Walgreens,Denver, Colorado,4/29/2023,0.002475131,5.217937064,745.6892049,0.979084879
NARS,83890,2.215610773,518.5245138,2501.575246,144.1017935,Florida,817.6171382,Sephora,Los Angeles, California,12/2/2020,0.004272914,5.760442095,518.5245138,0.634189879
MAC,62577,2.764719856,929.634364,1016.572343,945.7590261,California,825.6575527,Sephora,Houston, Texas,8/13/2023,0.002973986,93.03410945,929.634364,1.125932126
